,Name,Module,Submodule,Action,How easy is it to do?,Badge,Pop-up Copy,Social Media Copy,Target,Level,Image
Practice Problem,Participated Practice Challenge,Participate,Active,You participated in 30 practice problem,4,Gold,"Congratulations, you've participated in 30 practice problem. Here's a gold medal to celebrate!","Woohoo, I unlocked the gold badge for participating in 30 @AIcrowdHQ practise problems! Check out my profile to know more [link]",30,3,practice_problem_participate_Active_gold
Practice Problem,Made Successful Practice Submission,Successful Submission,Active,You made 20 successful submission,2,Bronze,"Good job, you've made 20 successful submission unlocking bronze badge.",I unlocked bronze badge for making 20 successful submissions and I am just getting started! See my submissions here [link],20,1,practice_problem_successful_submission_Active_bronze
Practice Problem,Made Successful Practice Submission,Successful Submission,Active,You made 50 successful submissions,3,Silver,"Good job, you've made 50 successful submission unlocking silver badge.",I unlocked silver badge for making 50 successful submissions and I am just getting started! See my submissions here [link],50,2,practice_problem_successful_submission_Active_silver
Practice Problem,Made Successful Practice Submission,Successful Submission,Active,You made 80 successful submissions,4,Gold,"Woohoo, you've made 80 successful submission unlocking bronze badge.",I unlocked gold badge for making 80 successful submissions! Know more about my journey here [link],80,3,practice_problem_successful_submission_Active_gold
Activity,Submission For Consecutive Days,Time Frequency ,Active,Made submissions for 7 consecutive days,2,Bronze,Good going! You've made submission for 7 straight days!  Here's a gold badge to celebrate!,I unlocked the bronze badge by making consecutive submissions for 7 straight days! Check out the interesting challenge for yourself [link],7,1,activity_time_frequency_Active_bronze
Activity,Submission For Consecutive Days,Time Frequency ,Active,Made submissions for 15 consecutive days ,4,Silver,"Keep it up, you've made submissions for 15 consecutive days! Here's a gold badge to celebrate!",I unlocked the silver badge by making consecutive submissions for 15 straight days! Check out the interesting challenge for yourself [link],15,2,activity_time_frequency_Active_silver
Activity,Submission For Consecutive Days,Time Frequency ,Active,Made submissions for 30 consecutive days ,5,Gold,"Bravo, this is amazing. You've made submission for 30 consecutive day. Here's a gold badge to celebrate!","Wow, I unlocked the gold badge by making consecutive submissions for 30 straight days! Check out the interesting challenge for yourself [link]",30,3,activity_time_frequency_Active_gold
Leaderboard,Moved Up Leaderboard,Rank Improvement,Active,Moved up 5 positions on the leaderboard (in last week of challenge),3,Bronze,Movers and shakers! You've jumped 5 ranks on the leaderboard. Here's a bronze badge to celebrate that!,I moved up 5 positions in the leaderboard one week before the deadline! Hard work pays off - here's my bronze badge!,5,1,leaderboard_improve_rank_Active_bronze
Leaderboard,Moved Up Leaderboard,Rank Improvement,Active,Moved up 15 positions on the leaderboard (in last week of challenge),4,Silver,Movers and shakers! You've jumped 15 ranks on the leaderboard. Here's a silver badge to celebrate that!,I moved up 15 positions in the leaderboard one week before the deadline! Hard work pays off - here's my silver badge!,15,2,leaderboard_improve_rank_Active_silver
Leaderboard,Moved Up Leaderboard,Rank Improvement,Active,Moved up 35 positions on the leaderboard (in last week of challenge),5,Gold,Movers and shakers! You've jumped 35 ranks on the leaderboard. Here's a gold badge to celebrate that!,I moved up 35 positions in the leaderboard one week before the deadline! Hard work pays off - here's my gold badge!,35,3,leaderboard_improve_rank_Active_gold
Leaderboard,Improved Score,Score Improvement,Active,Improved your score 3 times in this challeneg! ,4,Silver,Keep up that never give up attitude! You've improved your score thrice in this challenge. Here's a silver badge to celebrate!,I improved my score thrice in this challenge and won the bronze badge! Never give up. Here's my code [link]`,3,2,leaderboard_improve_score_Active_silver
Leaderboard,Improved Score,Score Improvement,Active,Improved your score 5 times in this challeneg! ,5,Gold,Keep up that never give up attitude! You've improved your score five times in this challenge. Here's a gold badge to celebrate!,I improved my score five times in this challenge and won the silver badge! Never give up. Here's my code [link],5,3,leaderboard_improve_score_Active_gold
One-Off,"Participated in one challenge, made 2 submissions and liked 2 challenges. ",New User of the Month,Active ,"Actively participated in one challenge, made 2 submissions and liked 2 challenges. ",3,Silver,"Congratulations, you are AIcrowd New User of the Month! We love your active participation and enthusiasm. Keep it up :D","I am the @AIcrowdHQ New User of the Month and received a silver badge! Curious about my journey, check out my profile [link]",,2,
Campaign,Invited User,Invites,Active,Invited 1 users ,1,Bronze,Challenges are more fun with friends. Here's your bronze badge for inviting a user to this challenge.,I unlocked a bronze badge for inviting a new user to a challenge. Want to join my team? Click here [link],1,1,campaign_invite_Active_bronze
Campaign,Invited User,Invites,Active,Invited 3 users ,2,Silver,Challenges are more fun with friends. Here's your silver badge for inviting 3 user to this challenge.,I unlocked a silver badge for inviting 3 new users to a challenge. Want to join my team? Click here [link],3,2,campaign_invite_Active_silver
Campaign,Invited User,Invites,Active,Invited 5 users ,3,Gold,Challenges are more fun with friends. Here's your gold badge for inviting 5 users to this challenge.,I unlocked a gold badge for inviting 5 new users to a challenge. Want to join my team? Click here [link],5,3,campaign_invite_Active_gold
