Category,Name,Module,Submodule,Action,How easy is it to do?,Badge,Pop-up Copy,Social Media Copy,Target,Level,Image
Notebooks,Notebook Received Comment,Comment,Passive,- Your notebook got 15 comments ,3,Silver,1. You notebook is getting attention! You have unlocked the silver badge by receiving 15 comments. Keep up the good work. :),2. I received the silver badge as my notebook on @AIcrowdHQ is garnering some attention. Check it out [link],15,2,Notebook_comment_passive_silver
Notebooks,Notebook Received Comment,Comment,Passive,- Your notebook got 30 comments ,4,Gold,"1. Wow, you have received the gold badge! Your notebook is really population. Great work, keep creating! :)",2. I received the prestigious gold badge for my notebook! Check out the resource over here [link],30,3,Notebook_comment_passive_gold
Notebooks,Bookmarked Notebook,Subscribe,Active,- You subscribed to 5 notebooks,2,Bronze,You’ve followed 5 notebooks and unlocked bronze badge. 10 more follows away from levelling up to silver. Keep going on!,n/a,5,1,Notebook_bookmark_Active_bronze
Notebooks,Bookmarked Notebook,Subscribe,Active,- You subscribed to 15 notebooks,3,Silver,"You’ve followed 15 notebooks and unlocked silver badge! Keep going, 20 more and you’ll level up. ",n/a,15,2,Notebook_bookmark_Active_silver
Notebooks,Bookmarked Notebook,Subscribe,Active,- You subscribed to 35 notebooks ,4,Gold,"Wow, you are an active member of our community. Here’s a gold badge to appreciate your effort. Keep interacting with resources created by the resources. ",n/a,35,3,Notebook_bookmark_Active_gold
Notebooks,Notebook Was Bookmarked,Subscribe,Passive,- Your notebook has 3 subscriber ,2,Bronze,You’ve unlocked the bronze badge! The community is noticing you! Keep creating and sharing your resources. ,n/a,3,1,Notebook_bookmark_passive_bronze
Notebooks,Notebook Was Bookmarked,Subscribe,Passive,- Your notebook has 15 subscribers,3,Silver,"Woohoo, you receive a silver badge! 15 people have subscribed to your notebook. The community liked your resources, keep up the good work. :)",I received the silver badge for my notebook on @AIcrowdHQ. Check out the notebook that my subscribers are using [link],15,2,Notebook_bookmark_passive_silver
Notebooks,Notebook Was Bookmarked,Subscribe,Passive,- Your notebook has 30 subscribers ,4,Gold,"Wow, you receive a gold badge as your notebooks have 30 subscribers! Your work is quite popular! Keep creating and sharing more notebooks.:) ","Yay, I received the prestigious gold badge for my notebook on @AIcrowdHQ. Check out my notebook that is popular among AIcrowd community members [link]",30,3,Notebook_bookmark_passive_gold
Notebooks,Downloaded Notebook,Download,Active,- You downloaded 10 notebooks ,2,Bronze,"You receive a bronze badge for downloading 10 notebooks. Good job, you’re 15 downloads away from a level up ",n/a,10,1,Notebook_download_Active_bronze
Notebooks,Downloaded Notebook,Download,Active,- You downloaded 25 notebooks,3,Silver,You have unlocked silver badge by downloading 25 notebooks. We appreciate your active participation on this platform. Keep up the good work.,n/a,25,2,Notebook_download_Active_silver
Notebooks,Downloaded Notebook,Download,Active,- You downloaded 40 notebooks ,4,Gold,"Wow, you’re a busy bee. Here’s a gold badge to reward your hard work! Our community appreciates your active participation. ",n/a,40,3,Notebook_download_Active_gold
Notebooks,Notebook Was Downloaded,Download,Passive,- Your notebook was downloaded 5 times,2,Bronze,You’ve unlocked the bronze badge! The community is noticing you! Keep creating and sharing your resources.,n/a,5,1,Notebook_download_passive_bronze
Notebooks,Notebook Was Downloaded,Download,Passive,- Your notebook was downloaded 15 times,3,Silver,"Woohoo, you receive a silver badge! 15 people have downloaded to your notebook. The community liked your resources, keep up the good work. :)",I received the silver badge for my notebook on @AIcrowdHQ. Check out the notebook [link],15,2,Notebook_download_passive_silver
Notebooks,Notebook Was Downloaded,Download,Passive,- Your notebook was downloaded 35 times ,4,Gold,"Wow, you receive a gold badge as your notebooks have 35 downloads. Your work is quite popular! Keep creating and sharing more notebooks.:) ","Yay, I received the prestigious gold badge for my notebook on @AIcrowdHQ. Check out my notebook that is popular among AIcrowd community members [link]",35,3,Notebook_download_passive_gold
One-Off,"Created one notebook, like 3 notebooks, shared 2 notebooks ",New User of the Month,Active ,"Created one notebook, like 3 notebooks, shared 2 notebooks ",3,Silver,,,,2,
Notebooks,Created Blitz Notebook,Creation,Active,- You created 5 Blitz notebooks,3,Bronze,,,5,1,Blitz_Creation_Active_bronze
Notebooks,Created Blitz Notebook,Creation,Active,- You created 15 Blitz notebooks,4,Silver,,,15,2,Blitz_Creation_Active_silver
Notebooks,Created Blitz Notebook,Creation,Active,- You created 30 Blitz notebooks ,5,Gold,,,30,3,Blitz_Creation_Active_gold
